ticker,company_name,cik,sector,industry,ir_url,enabled
MMM,3M Company,0000066740,Industrials,Industrial Conglomerates,,true
AOS,A.O. Smith,0000091142,Industrials,Building Products,,true
ABT,Abbott Laboratories,0000001800,Health Care,Health Care Equipment,,true
ABBV,AbbVie,0001551152,Health Care,Pharmaceuticals,,true
ACN,Accenture,0001467373,Information Technology,IT Consulting & Other Services,,true
ADBE,Adobe,0000796343,Information Technology,Application Software,,true
AMD,Advanced Micro Devices,0000002488,Information Technology,Semiconductors,,true
AES,AES Corporation,0000874761,Utilities,Electric Utilities,,true
AFL,Aflac,0000004977,Financials,Life & Health Insurance,,true
A,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,,true
APD,Air Products and Chemicals,0000002969,Materials,Industrial Gases,,true
AKAM,Akamai Technologies,0001086222,Information Technology,Internet Services & Infrastructure,,true
ALK,Alaska Air Group,0000766421,Industrials,Airlines,,true
ALB,Albemarle,0000915779,Materials,Specialty Chemicals,,true
ARE,Alexandria Real Estate,0001036020,Real Estate,Office REITs,,true
ALGN,Align Technology,0001097774,Health Care,Health Care Equipment,,true
ALLE,Allegion,0001579241,Industrials,Building Products,,true
LNT,Alliant Energy,0000052485,Utilities,Electric Utilities,,true
ALL,Allstate,0000899051,Financials,Property & Casualty Insurance,,true
GOOGL,Alphabet Inc (Class A),0001652044,Communication Services,Interactive Media & Services,,true
GOOG,Alphabet Inc (Class C),0001652044,Communication Services,Interactive Media & Services,,true
MO,Altria Group,0000764038,Consumer Staples,Tobacco,,true
AMZN,Amazon.com,0001018724,Consumer Discretionary,Internet & Direct Marketing Retail,,true
AMCR,Amcor,0001748790,Materials,Paper & Plastic Packaging,,true
AEE,Ameren,0001002910,Utilities,Multi-Utilities,,true
AAL,American Airlines Group,0000006201,Industrials,Airlines,,true
AEP,American Electric Power,0000004904,Utilities,Electric Utilities,,true
AXP,American Express,0000004962,Financials,Consumer Finance,,true
AIG,American International Group,0000005272,Financials,Multi-line Insurance,,true
AMT,American Tower,0001053507,Real Estate,Telecom Tower REITs,,true
AWK,American Water Works,0001410636,Utilities,Water Utilities,,true
AMP,Ameriprise Financial,0000820081,Financials,Asset Management & Custody Banks,,true
AME,Ametek,0000014846,Industrials,Electronic Equipment & Instruments,,true
AMGN,Amgen,0000318154,Health Care,Biotechnology,,true
APH,Amphenol,0000820313,Information Technology,Electronic Components,,true
ADI,Analog Devices,0000006951,Information Technology,Semiconductors,,true
ANSS,Ansys,0000820081,Information Technology,Application Software,,true
AON,Aon,0000315293,Financials,Insurance Brokers,,true
APA,APA Corporation,0000006769,Energy,Oil & Gas Exploration & Production,,true
AAPL,Apple,0000320193,Information Technology,Technology Hardware Storage & Peripherals,,true
AMAT,Applied Materials,0000796343,Information Technology,Semiconductor Equipment,,true
APTV,Aptiv,0001521332,Consumer Discretionary,Auto Parts & Equipment,,true
ACGL,Arch Capital Group,0000947484,Financials,Property & Casualty Insurance,,true
ADM,Archer-Daniels-Midland,0000007084,Consumer Staples,Agricultural Products,,true
ANET,Arista Networks,0001313925,Information Technology,Communications Equipment,,true
AJG,Arthur J Gallagher,0000354190,Financials,Insurance Brokers,,true
AIZ,Assurant,0001267238,Financials,Multi-line Insurance,,true
T,AT&T,0000732717,Communication Services,Integrated Telecommunication Services,,true
ATO,Atmos Energy,0000803649,Utilities,Gas Utilities,,true
ADSK,Autodesk,0000796343,Information Technology,Application Software,,true
ADP,Automatic Data Processing,0000012927,Information Technology,Data Processing & Outsourced Services,,true
AZO,AutoZone,0000866787,Consumer Discretionary,Specialty Stores,,true
AVB,AvalonBay Communities,0000915912,Real Estate,Residential REITs,,true
AVY,Avery Dennison,0000008818,Materials,Paper & Plastic Packaging,,true
AXON,Axon Enterprise,0001069183,Industrials,Aerospace & Defense,,true
BKR,Baker Hughes,0001701605,Energy,Oil & Gas Equipment & Services,,true
BALL,Ball Corporation,0000009389,Materials,Metal & Glass Containers,,true
BAC,Bank of America,0000070858,Financials,Diversified Banks,,true
BBWI,Bath & Body Works,0000835729,Consumer Discretionary,Specialty Stores,,true
BAX,Baxter International,0000010456,Health Care,Health Care Equipment,,true
BDX,Becton Dickinson,0000010795,Health Care,Health Care Equipment,,true
BRK.B,Berkshire Hathaway,0001067983,Financials,Multi-Sector Holdings,,true
BBY,Best Buy,0000764478,Consumer Discretionary,Computer & Electronics Retail,,true
BIO,Bio-Rad Laboratories,0000012208,Health Care,Life Sciences Tools & Services,,true
TECH,Bio-Techne,0000842162,Health Care,Life Sciences Tools & Services,,true
BIIB,Biogen,0000875320,Health Care,Biotechnology,,true
BLK,BlackRock,0001364742,Financials,Asset Management & Custody Banks,,true
